[Wed Jan 05 13:49:07.228812 2022] [php7:error] [pid 14360] [client 10.10.8.79:59918] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 13:49:18.832283 2022] [php7:error] [pid 14389] [client 10.10.8.79:59960] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 13:50:12.167161 2022] [php7:error] [pid 14757] [client 10.10.8.79:60014] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 13:51:12.424019 2022] [php7:error] [pid 15103] [client 10.10.8.79:60050] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 13:51:39.919048 2022] [php7:error] [pid 15109] [client 10.10.8.79:60062] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 13:54:52.448376 2022] [php7:error] [pid 16143] [client 10.10.8.79:60276] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:00:33.885865 2022] [php7:error] [pid 18188] [client 10.10.8.79:60300] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:00:37.720443 2022] [php7:error] [pid 18193] [client 10.10.8.79:60310] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/site/login
[Wed Jan 05 14:00:41.648552 2022] [php7:error] [pid 18195] [client 10.10.8.79:60314] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:00:43.038191 2022] [php7:error] [pid 18196] [client 10.10.8.79:60316] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:02:07.667649 2022] [php7:error] [pid 18880] [client 10.10.8.79:60322] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:02:14.226382 2022] [php7:error] [pid 18881] [client 10.10.8.79:60324] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 14:02:15.565114 2022] [php7:error] [pid 18882] [client 10.10.8.79:60326] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:03:22.004911 2022] [php7:error] [pid 19225] [client 10.10.8.79:60330] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
[Wed Jan 05 14:03:23.008614 2022] [php7:error] [pid 19226] [client 10.10.8.79:60332] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/lk
